U2,Lambda,Force,RF2,,,,Lambda Crack,Crack Length,,,Time,U2,Lambda2,Force2,,,LambdaC2,Crack2
1.96713,1.393426,188.164,1.88E-01,,,9.86337,1.3945348,19.75,,,,,,,,,,
1.96715,1.39343,187.824,1.88E-01,,,9.8635,1.39454,19.85,,,,,,,,,,
1.96717,1.393434,187.526,1.88E-01,,,9.86366,1.3945464,19.9,,,,,,,,,,
1.96719,1.393438,187.155,1.87E-01,,,9.86387,1.3945548,20,,,,,,,,,,
1.96721,1.393442,186.688,1.87E-01,,,9.86413,1.3945652,20.1,,,,,,,,,,
1.96724,1.393448,186.109,1.86E-01,,,9.86445,1.394578,20.25,,,,,,,,,,
1.96728,1.393456,185.398,1.85E-01,,,9.86485,1.394594,20.4,,,,,,,,,,
1.96733,1.393466,184.509,1.85E-01,,,9.86525,1.39461,20.6,,,,,,,,,,
1.9674,1.39348,183.38,1.83E-01,,,9.86566,1.3946264,20.75,,,,,,,,,,
1.96746,1.393492,182.253,1.82E-01,,,9.86576,1.3946304,20.8,,,,,,,,,,
1.96752,1.393504,181.142,1.81E-01,,,9.86586,1.3946344,20.85,,,,,,,,,,
1.96759,1.393518,180.001,1.80E-01,,,9.86598,1.3946392,20.9,,,,,,,,,,
1.96765,1.39353,178.827,1.79E-01,,,9.86614,1.3946456,20.95,,,,,,,,,,
