B2D1 Dis,B2D1 Force,B1D2 Dis,B1D2 Force,B1D3 Dis,B1D3 Force
,,1.08656,29.6029,1.08605,32.3122
,,1.08679,29.7273,1.08626,32.0555
,,1.08702,29.6306,1.08648,31.8186
,,1.08724,29.6993,1.08671,31.3142
,,1.08744,30.0107,1.08694,30.8741
,,1.08764,30.5361,1.08716,31.1819
,,1.08782,30.6337,1.08737,31.7369
,,1.088,30.5372,1.08758,31.8429
,,1.08818,30.4711,1.08777,31.8725
,,1.08835,30.445,1.08796,32.3213
,,1.08853,30.1751,1.08814,33.0487
,,1.08872,30.1034,1.08832,33.4229
,,1.08892,30.2558,1.0885,33.1413
,,1.08913,30.7189,1.08869,32.3012
,,1.08936,30.6922,1.08889,31.6108
,,1.0896,30.7748,1.0891,31.4107
,,1.08983,30.9376,1.08932,31.8334
,,1.09005,31.2178,1.08955,32.7652
,,1.09026,31.3666,1.08977,33.665
,,1.09045,31.1366,1.08998,33.8645
,,1.09064,30.7127,1.09019,33.5283
,,1.09082,30.1865,1.09039,33.0124
,,1.091,29.8854,1.09058,32.9641
,,1.09118,30.1302,1.09076,32.8767
,,1.09136,30.7731,1.09094,32.416
,,1.09152,31.8359,1.09112,32.3441
,,1.09172,32.4563,1.09131,32.9763
,,1.09192,32.5162,1.0915,33.4982
,,1.09213,32.1207,1.09169,33.4517
,,1.09235,31.8254,1.0919,33.6742
,,1.09257,31.3025,1.09211,34.3895
,,1.09279,30.7437,1.09233,34.7071
,,1.093,30.4553,1.09254,34.2268
,,1.0932,30.6554,1.09276,33.3848
,,1.0934,30.9031,1.09297,33.104
,,1.09359,31.6363,1.09317,33.1725
,,1.09378,32.4355,1.09337,33.2505
,,1.09397,33.2605,1.09356,33.3119
,,1.09417,33.133,1.09375,33.87
,,1.09437,32.4828,1.09395,34.6018
,,1.09458,31.7611,1.09414,34.773
